comment_content,show_name,post_comment [Total Events]
الله يسعدك دكتور اسامة جمييل جدا وفادني,مشاعر,1
الله يسعدك يا فيصل مثل ما أسعدتنا أضعاف❤️,فنجان مع عبدالرحمن أبومالح,1
الله يسعدك يابوحمد مثل ما أسعدتنا,undefined,1
الله يسعدك يارب ويسعد كل شاب وشابه شو م كانت قصتهم♥️ويعطيكم مافي خواطكم,فنجان مع عبدالرحمن أبومالح,1
الله يسعدكم على كلامكم الطيب ما قصرتوا  وبإذن الله أقدم ما يسركم ويرقى لذائقتكم 🙏,جناية,1
الله يسعدكم على هذي الحلقه اللي خلصت وتمنيت انهاء طىلت,ذا قال,1
الله يسعدكم ويجزاكم خير على لطفكم معاي وكلامكم الطيب وحسن ظنكم 🙏 وبإذن الله أكون عند حسن ظنكم وأقدم شي مميز يرقى لذائقتكم,جناية,3
الله يسعده اجمل واخف واحسن حلقه,فنجان مع عبدالرحمن أبومالح,1
الله يشغل الهلال صدق، لولا موضوع احتراف اللاعبين السعوديين كان قلت الحلقة هذي إعادة من الموسم الماضي 😞,مرتدة,1
الله يشفي فهد كلكم ادعوله,امشِ مع,1
الله يشفي فهد ويحفظه لوالديه,امشِ مع,1
الله يشفي فهد ويعافيه ويكبر ويصير كل شيء يحلم فيه ويقر عيون والديه به,امشِ مع,1
الله يشفي ويشفيني,تخبطات,1
الله يطمّن قلوبهم.. بصراحة مو شي سهل ابداً,رابط تشعبي,1
الله يطول بعمر فهد ويخليه لكم يارب,امشِ مع,1
الله يعز حكامنا آل سعود ويطول بعمارهم 🇸🇦💚 شكرا وزير الرياضه الأمير  عبدالعزيز بن تركي الفيصل اتوقع,سقراط مع عمر الجريسي,1
الله يعطيك العافية,عالم الذكاء الاصطناعي AI World,1
الله يعطيك العافيه معلومات مفيدة وتعطينا دفعة عشان نبدى ونتحرك👍,بودكاست هناء,1
الله يعطيك العافيه يا ثمود بس مو بس مازن اللي خاب أمله في اسم قريه سعودي كلنا 😂,رابط تشعبي,1
الله يعطيكم العافية على الموضوع 💕,جادي,1
"الله يعطيكم العافيه
وكل عام ووطننا وشعبنا وقيادتنا بخير وأمن ورخاء وتنمية ي رب العالمين.
قد يكون محور اقتصاد السعودية اول قائمة او سلسلة حلق",جادي,1
الله يعطيكم العافيه على الحلقه شكراً لكل من شارك فيها,ذا قال,1
الله يعطيكم العافيه على مجهوداتكم. الصدق موضوع الهجرة وفكرة العمالة المؤقتة اللي ماتنعكس على الاقتصاد المحلي بالفائدة انه موضوع مهم جداً ا,جادي,1
الله يعطيكم العافيه، وباذن الله نحتفل بأول مئوية مع اهم القادة عندنا، ثمانيه ماشاءالله استضافت وزير الماليه و pif,جادي,1
"الله يعطيه العافيه ,معلومات مهم",فنجان مع عبدالرحمن أبومالح,1
الله يعوضك يارب,أصوات,1
"الله يعوضه قصة محزنه جدا 
ياما في السجن مظاليم",محفوف,1
الله يعين,Culture Study Podcast,1
الله يعينه,أصوات,1
الله يغفر له ويرحمه وسبحان من سخر له هذي الحلقه عشان ما ينقطع الدعاء له,رابط تشعبي,1
الله يغفر له ويرحمه ويُحسن إليه كما أحسن إلينا في هذه القصائد 🤍,أسمار,1
الله يغفر لها ويرحمها,أصوات,2
الله يغفر لها ويرحمها ويجعلها في جنات الفردوس 😔😔,فنجان مع عبدالرحمن أبومالح,1
الله يغفر لها ويرحمها ويحسن اليها ،،، هزتني الحلقة بمعنى الكلمة 😔,أصوات,1
"الله يغفر لها ويعوّضها بجنات النعيم
أعتقد آخر حل نقطّ ونجيب قاتل مأجور  يبرّد حرتنا بملعون الصلايب هذا",أصوات,1
الله يفتح عليك ويسخر لك الأرض ومن عليها ..وشكرًا للجميع استمتعت بالحلقة,بودكاست مربّع | مع حاتم النجار,1
الله يفرج همه ان شاء الله,جلسة كرك,1
الله يقبلك ويقبلهم هذا الي مميز قناة ثمانية وبالاخص ذاقال مع المبدع خالد عون,ذا قال,1
الله يقبلهم والله ان ودي ان المقابله طولت,ذا قال,1
الله يقطع دوامي,فنجان مع عبدالرحمن أبومالح,1
الله يقويه و يعينه 💞💕💝,فنجان مع عبدالرحمن أبومالح,1
الله يكتب اجرك,مُنصِت,2
"الله يكثر مخزون اسئلة اولى ابتدائي لأنها بتجيب لنا جلسات ونيسه مثل كذا 🤲🏻.. 

حوار جميل و يخلينا نتذكر ان محاولة فهم اعجاز القرآن يجب ان لا ت",undefined,1
الله يكثر من امثال علي وصالح في الوسط التقني السعودي,فنجان مع عبدالرحمن أبومالح,1
الله يكون بالعون,امشِ مع,1
الله يكون بعونك أستاذ مويد سمعت البودكاست وحاليا احمل جزء من مشاعرك اتمنى تتخطى 🤍🤍,رابط تشعبي,1
"الله يلطف بحالنا اجمعين
واقعة كانت ممكن تكون اخف المً اذا اعطي المتهم مساحة تعبير مع اذن تسمع.",محفوف,1
الله يلعن ابو امريكه,Planet Money,1
الله ينصر ويفرج ويحفظ الاخوات والاخوة في فلسطين والسودان وكل مكان,الفجر,1
الله ينصرهم ويفرج عنهم همهم,جلسة كرك,1
الله ينور لكم مثل ما نورتو لنا وفتحتو مداركنا والله مانملك لكم الاّ الدعاء,احتيال,1
"الله يهداها سارة 7 دقايق ونص عشان تبدأ الحلقة ونسمع صوت الضيفة. تيزر ملخبط ومقدمة أطول من موضوع الحلقة.
بعد ما تتجاوز كل هذا، اسمع لهاجر القاي",شمس,1
الله يهديك كنت راضية عليك لحدّ النهاية لما قلت ان عرين الاسد هو آخر جزء لبساتين لانه واضح فيه تكملة للاحداث لكني واثقة فيك شكلك بتبدأ سلسلة ج,امشِ مع,1
الله يهديكم هذي سوالف الواحد يصبّح عليها؟,الفجر,1
الله يهديه العقل البشري اقل امكانيات من الذكاء الصناعي لكن الروح لا يمكن ان يصل لسرها احد وهو الان انغمس واقتنع ويحاول يقنع غيره بالخزعبلات,فنجان مع عبدالرحمن أبومالح,1
الله يوفقك,رابط تشعبي,1
الله يوفقك لكل ما يجعلك افضل واحب الى الله ..,فنجان مع عبدالرحمن أبومالح,1
الله يوفقك ويسعدك وبرنامجك حلو وجميل افضل شي,ذا قال,1
الله يوفقكم,جادي,1
الله يوفقكم,فنجان مع عبدالرحمن أبومالح,1
الله يوفقكم ويرزقكم ويعينكم تستحقون الشكر الاشتراك,فنجان مع عبدالرحمن أبومالح,1
الله يوفقكم يارب,فنجان مع عبدالرحمن أبومالح,1
الله ♥️✨,للغناء قصّة,1
الله!(ما سمعتها),It's Been a Minute,1
الله. أخيرًا فنجان سرق ضيوف سقراط حرفيًا,فنجان مع عبدالرحمن أبومالح,1
"اللهجة الجنوبية آسره+ أم أبومالح تدخّلها كان لطيف 🥺🥺🥺 
يالييييت هالنوع من الحلقات يُعاد نشرها
بيكون لها صدى كبير 💥💥",فنجان مع عبدالرحمن أبومالح,1
"اللهجة العراقية 🇮🇶🧡

حلقة غنية و دسمه يستحقها كل عربي ومسلم عاصر الاحداث وعاش لحظاتها الصعبة ، تجاوب على تساؤلات وتكشف حقائق غيبها عنا ال",فنجان مع عبدالرحمن أبومالح,1
"اللهجة العراقية 🇮🇶🧡
-
حلقة دسمه ومستوى الدهشه يتزايد ولا ينخفض اثناء الاستماع . 
العنوان بحد ذاته يجذب المستمع 👍🏻

رجل عظيم و عاصر فترات",فنجان مع عبدالرحمن أبومالح,1
اللهجة 😗!!,أصوات,1
اللهجه سعوديه  افضل من رأيي,أصوات,1
اللهجه مزعجه,أصوات,2
اللهم إنا نسألك علمًا نافعًا,جادي,1
"اللهم صل وسلم على سيدنا محمد 
ماشاء الله تبارك الله حلقة جميلة تحية طيبة لكم",أسمار,1
اللهم صل وسلم على نبينا محمد,فنجان مع عبدالرحمن أبومالح,1
"اللهم صل وسلم على نبينا محمد 
قصائد شوقي بديعة و مختلفة دائماً",أسمار,1
اللهم صل وسلم على نبينا محمد وعلى آله وصحبه اجمعين جزاكم الله خيرا,اسألوا التاريخ,1
اللهم صل وسلم وبارك على سيدنا محمد صلى الله عليه وسلم 🤍,أسمار,1
اللهم صل وسلم وبارك على سيدنا محمد وعلى اله وصحبه اجمعين,السيرة النبوية -احمد عامر,1
اللهم صل وسلم وزد وبارك على نبينا وحبيبنا محمد.,أسمار,1
اللهم صلي وسلم على سيدنا وحبيبنا محمد 💚,أسمار,1
اللهم صلي وسلم وبارك عليه,Mustafa Hosny - مصطفى حسني,1
اللهم صلِ وسلم على نبينا محمد ❤️,سقراط مع عمر الجريسي,1
اللهم صلِّ وسلم وزد وبارك على نبينا وحبيبنا وأسوتنا محمد وعلى آله الطيبين الطاهرين وعلى صحابته الغرّ الميامين، ومن تبعهم بإحسان إلى يوم الد,سقراط مع عمر الجريسي,1
اللهم غلطات مثل غلطة بومالح.. آمين :),بدون ورق,1
اللهم في هذه الايام الفضيلة، اشف كل مريض وعافي كل مبتلى، انك على شيء قدير ❤️✨,بترولي,1
"اللهم لك الحمد لله على دولتنا الحبيبة وما تقدمة لأخوانا وأخواتنا اللي هم منا وفينا 

حلقة أكثر من رائعة",فنجان مع عبدالرحمن أبومالح,1
"اللهم يرحمهم ويتقبّلهم من الشهداء
لقاء مليء بالألم والأسى 
نبرة الضيف استعادة كل المشاعر اللي مر بها .",فنجان مع عبدالرحمن أبومالح,1
اللواء فايز عبارة عن مخزن معلومات ماشاءالله وفوق منها متحدث جيد لكن شعيب ما عرف يطلع لنا بحوار قيم، تمنيت لو كان المحاور غير شعيب,ضيف شعيب,1
اللي اذكره وقتها ان الناس كانو يشترون المكاين من اقاربهم ومعارفهم ومع قوة الشائعة الا ان الناس كانو مصدقين ومتخوفين في نفس الوقت,رابط تشعبي,1
اللي اكتشفته من الحلقه انه ماتنفع للبنات كله علوم مرجله وش دخلني,ذا قال,1
"اللي انصحكم تشوفونها هي حلقته عن التعاطف مع الذات والعار بقناته على اليوتيوب اسمه  Christopher germer لابس قميص ازرق

اما الان فأرحب بمتابعي الجديد و",Your Anxiety Toolkit - Anxiety & OCD Strategies for Everyday,1
اللي تابع The office أكثر من ١٠ مرات مثلي، وعلى باله يعرف كل حوار في المسلسل، لازم يتابع هذا البودكاست. خلال الخمس سنوات الماضية رجعت اتابع المسل,Office Ladies,1
اللي تحمّس يروح كوريا الشمالية يرفع يده 🖐🏽,الفجر,1
"اللي حصل للدكتورة شيء مرعب
رحمها الله وغفر لها",أصوات,1
"اللي خايفه منه بيصير 😓
هو اسمه راديو عشان ميزة الصوتي📻

نحتاج عصا سحرية ترضي جميع الاطراف ، اللي مايبي المرئي لا يجيه التحديث ولا يحوس له ت",فنجان مع عبدالرحمن أبومالح,1
"اللي خايفه منه بيصير😓
هو اسمه راديو عشان ميزة الصوتي📻
 
نحتاج عصا سحرية ترضي الجميع ، اللي مايبي المرئي لا يجيه التحديث ولا يحوس له الترتيب",فنجان مع عبدالرحمن أبومالح,1
اللي قاعد يصير هي نتائج اللي قبل ولكن الجيل الجاي واللي بعده هم نتائج عمل اليوم,شوط,1
اللي قالت انها بامريكا تتحجب وهنا تتنقب منطقي ليه ماتتحجب هنا ؟ لدام ماعندها مشكله بخلع النقاب ليه متمسكه فيه,أصوات,1
اللي قبل ذي كانت اول حلقة اشوفها لها وذي آخر شي، هي نفسها الـkombucha girl إذا تذكرونها، شفتها ببودكاست unfiltered(حلو حق الضحك اسمعوه إذا فيكم سُكني او,The Broski Report with Brittany Broski,1
اللي لاحظ أنه قال: مصادر التواصل الاجتماعي يعطيني لايك,رابط تشعبي,1
اللي ما تشتغل عنده الحلقة يشغلها بدون الموسيقا. عجزت كل حلقة جديدة تنزل اسمعها في ابل بودكاست تنزل قبل هناك، مفروض العكس🫥,فنجان مع عبدالرحمن أبومالح,1
"اللي ما عنده صوت 
الحل انه يشغل البودكاست دون موسيقى",فنجان مع عبدالرحمن أبومالح,1
اللي من الضيوف اللي اتمنى فنجان يستضيفهم هو د. محمد بن علي العمري لغة عربية🎧🔝,فنجان مع عبدالرحمن أبومالح,1
"اللي نزلت الحلقة اول ما اشترك:🥳
اللي نزلت الحلقة ف نص اشتراكه:🙂‍↕️
اللي نزلت الحلقة واشتراكه قرب يخلص:☠️",فنجان مع عبدالرحمن أبومالح,1
اللي وده يضحك ويغير جو يسمعها,امشِ مع,1
اللي وده ينام رايق يسمع هالحلقة، آسف ما قدرت أركز بالمحتوى 😴,فنجان مع عبدالرحمن أبومالح,1
اللي يبغى يستفيد في المواعيد الغراميه اسمع لهارلند وليم صدقني تعيش لحالك طول عمرك 😂,First Date with Lauren Compton,1
اللي يبي يشوف الحلقة فيديو قبل اليوتيوب وقبل راديو ثمانية.. يدخل على Stc.tv لين الله يفرجها😂😅,فنجان مع عبدالرحمن أبومالح,1
اللي يحدد السعر طمع الإنسان .. لا أكثر ولا أقل,جادي,1
اللي يخليني احب هذا الجيل حق الالفية حلقات طاش اللي اتصورت فهداك الوقت، وفلم الهامور لانه ف نفس الزمن بيحَكي القصة,undefined,1
اللي يخليني احب هذا الجيل حلقات طاش اللي كنات تتصور ف داك الوقت وفلم الهامور,undefined,1
"اللي يسأل متى تنزل يوتيوب كل يوم أربعاء 
الاحد تنزل في الراديو والاربعاء تنزل يوتيوب",فنجان مع عبدالرحمن أبومالح,1
اللي يسال اي فيه فديو اضغط ويطلع لك,ذا قال,1
اللي يسال ليش مافي فيديو ترا عشان ذا تطبيق بودكاست مو فيديو المقطع ينزل على القناة يوم الاربعاء اتوقع او الخميس😘,فنجان مع عبدالرحمن أبومالح,1
اللي يسمع وصفه للحادثة يقول اكيد صارت قبل كم يوم ما يصدق ان لها سنين كمية الألم والغصة اللي فيه توجع القلب، الحمدلله اللي سلمهم والله يرحم من,فنجان مع عبدالرحمن أبومالح,1
اللي يشتغلون في المحتوى وبالذات في صناعة محتوى يومي مثل قنوات يوتيوب؛ ما عندهم وقت للحياة لأنه راح يعمل «قبل / وبعد» وقت عمله المحدد من 9 لحد 5,Ali Abdaal,1
اللي يقولون ليش ماهو فيديو ( ترى هذا بودكاست استماع ) اللي يبي فيديو ينتظر حلقة اليوتيوب,فنجان مع عبدالرحمن أبومالح,1
اللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وآلِ مُحَمَّدٍ وعَجِّلْ فَرَجَهُمْ .. أحسنتم النشر والذكر ونشكر سماحة الشيخ فوزي آل سيف على هذا المؤلف ودا,الشيخ فوزي آل سيف,1
"اللّٰه أكبر ، اللّٰه أكبر ، اللّٰه أكبر 
‏لا إله إلا اللّٰه، اللّٰه أكبر ، اللّٰه أكبر وللّٰه الحمد",فنجان مع عبدالرحمن أبومالح,1
المؤمن لا يمل خدمة الناس ليلًا و نهارًا .. كالشمس و القمر,الشيخ ياسين الجمري,1
المتنبي ذالك الشاعر المتنوع الهائل إذا وصف وإذا غضب وإذا رضي وبكل حالاته هو موسوعة فكرية وتاريخ عريق وأصيل فعلا المتنبي الشمس التي لاتغيب,بودكاست بيان,1
"المجرم تيد بندي صار سفاح بعد ماكان شخص طبيعي جداً  بسبب المشاهد الإباحية. 
هل كم المشاهدات هذه بتكون نفس تأثير المخدرات عقلياً غير التأثير ال",رابط تشعبي,2
المجزرة تتكرر.. المقارنة بين البوسنة وفلسطين أصبحت واقعاً.. لذا من المهم أن لا نعتاد المشهد والأهم أن لا ننسى.,Blank Maps | خرائط اللامكان,1
المجهود واضح والتطبيق فعلا أصبح الخيار الأول للتعرف على البودكاست العربي. سعيد بتجربتي.,فنجان مع عبدالرحمن أبومالح,1
المحاور المميز حاتم النجار افتقدناك ، ياليتك ترجع..,بودكاست مربّع | مع حاتم النجار,1
المحاور حقيقة متعب في هاذي الحلقة يحتاج تطور من ناحية فن الحوار,الغرفة,1
المحتال دائمًا يجي للاشخاص اللي عندهم حاجة، كاحتيال الخطابات، يعرفون تمامًا نقطة ضعف كبار السن وضعف وعيهم تجاه هذا الموضوع، حلقة رهيبه ابد,احتيال,1
المحترف ايفرتون,فنجان مع عبدالرحمن أبومالح,1
المديفر استضاف رئيس هيئة المنافسة د. عبدالعزيز الزوم في برنامج (في الصورة) قبل 11 شهر. وناقش معه موضوع الحلقة هذه تحديداً، وذكر فيها مخالفات ا,جادي,2
المذيع رهيب واسالته وتدخلاته جميله وعطت للحوار قيمه ومتعه وبالتوفيق لبراء في مسيرته القادمه,النشرة السينمائية,1
"المرحومة - بإذن الله - الدكتورة سامية ملهمة في حياتها وبعد وفاتها 
شكرا لفريق العمل على هذه السلسلة",أصوات,1
"المريشد مخضرم وشخصية إدارية ملهمة وناجحة بلاشك  …
لكن: 
ال20 دقيقة الأولى وكلامه عن العربية والانجليزية تخبيص وسطحية وكلام عوام المفروض أبو",فنجان مع عبدالرحمن أبومالح,1
المريشد مزيج بين البداوه والثقافة يمثل البدوي المتعلم,امشِ مع,1
المساهمات الأدبية النسائية -والحديثة منها- لم تحظَ ببحوث محايدة لفهم تأثّر تلك المساحات بالخصائص الاجتماعية والثقافية والتاريخية حيال الف,ألسن | Alsun شبكة فاز,1
المسيح كان آرامي و ليس لهودي,فنجان مع عبدالرحمن أبومالح,1
المسيح كان آرامي وليس يهودي,فنجان مع عبدالرحمن أبومالح,1
المشترك مفروض ما يسمع إعلان أبدا !!,جادي,1
"المشكلة أن الرفض عادة يحدث في مراحل مبكرة من العمر
ولذلك على الوالدين دور كبير في إيجاد التفسير الصحيح للأبناء .

معالجة التنمر  يجب أن تكون ت",آدم مع محمد الحاجي,1
المشكلة انه بعض اصحاب الاجار يرفع السعر بشكل مفاجئ وبدون اي خبر او نقاش ويقلك سدده في الموقت المحدد وبدون اي انذار,جادي,1
المشكلة بدأت من الطفرة الأولى قبل 50 سنة كان السعودي يشتغل في كل الأعمال وكان الاستقدام في وظائف محددة ولكن مع الطفرة وتحسن رواتب السعوديين ف,جادي,1
المشكلة هي في عدم رغبة الطرف الآخر في النقاش أو محاولة ايجاد الحلول .. و لو لم يكن ذو مكانة يخشى عليها لا يهم .,آدم مع محمد الحاجي,1
"المصائب الكبرى يظهر أثرها في تتبع الحياة اليومية 

😞",This American Life,1
المصطلحات الانجليزية كثيرة وبعضها مو مفهوم,OTB على البنش,1
المصطلحات الاننجليزية هنا واضح انها متكلفة. !!!!!!!!,آفاق الحوكمة,1
المصمم يتخذ القرارات لانه يدرس المستخدم ويعرف كيف يتفاهم مع المبرمج بالعربي هو حلقة الوصل بينهم  ، وهالمصمم يحتاج مهارات تواصل عالية تمكنه,كواليس,1
المعذرة انا مشترك لكن ما اقدر اشوف الحلقة كاملة ممممممساهدك,فنجان مع عبدالرحمن أبومالح,1
"المعلومات للاسف غير مرتبة
متلازمة آآآآآ 
اين الحلول ؟",فنجان مع عبدالرحمن أبومالح,1
"المعلومات وطريقة شرحهم حلوة وتعجبت من سالفة موبايلي و المعجل لأني أول مرة أسمع بها ولأني بعيد عن ""ذا"" المجال كانت الحلقة مثرية🫡",جادي,1
"المغامرات العجيبة لشخص عاش قبل 100 سنة.
مثل هالحلقات الي ما فيها ""حدث"" او نقطة جذب مفصلية بالعادة ما تكون حلوة من ذا دولوب، لكن ذي استثناء، ضحكت",The Dollop with Dave Anthony and Gareth Reynolds,1
المفترض من لحظة نزول الحلقة تكون الموسيقى ليست مضافه,فنجان مع عبدالرحمن أبومالح,1
المفروض الهلال يقاضي هئية الرياضه والصندوق والاتحاد السعودي على التهم وشيطنة الهلال كل تلك الفتره وخروج رؤوسا  الانديه واعلامهم والتشكيك ف,سقراط مع عمر الجريسي,1
المفروض جادي يكون له اشتراك خاص 🤍,جادي,1
المفروض حلقة الڤيديو تعرض مع البودكاست الصوتي,فنجان مع عبدالرحمن أبومالح,1
المفروض فيه هايد للردود الغير جيدة ، واللي تهاجم الضيف او تهاجم علمه ، واللي عنده حجة يقدمها مثل ما ابومالح و المعد قدموا حجج,فنجان مع عبدالرحمن أبومالح,1
المفروض ما يكون في اعلانات للمشتركين,الفجر,1
المفروض مدتها ساعتين بس يالله,وش السالفة؟,1
المفروض هذي الحلقة بالذات تنزل يوتيوب عقب تجيبونها بودكاست صوتي,فنجان مع عبدالرحمن أبومالح,1
المفروض يصير للبودكاست عنوان فرعي: نهايات حزينة، أو شي زي كذا,حكايات افريقية,1
المفروض يكون من ضمن المقدمين فهد بن نافل و ياسر القحطاني عشان نضمن الحياد,مرتدة,1
المفقود الأهم في طرح الحلقة رغم أهمية موضوعها في بعض جوانبه( فقط) هو اهم عنصر كنا نتمنى طرحه وربطه  بالموضوع الا وهو الناحية العقدية الإيماني,فنجان مع عبدالرحمن أبومالح,1
"المقابلة جميلة و الهدوء في شخصية داود يُدرس 
المقابله بسيط و معقده لازم تكون فاهم بعض الاشياء 
متاكد ١٠٠٪؜ اللي راح يتابع المقابلة راح تتغير",Bidon Waraq | بدون ورق,1
المقدم تحامل على الضيف حقيقةً عكس عادته,سوالف بزنس مع مشهور الدبيان,1
المقدم سيء ما يخلينا نسمع للضيف,فنجان مع عبدالرحمن أبومالح,1
المقدم ما عنده مداخلة غير التايقر؟,محفوف,1
المقدم يفتقد الى الاحترافية,وثبة مع عبدالله المسلّم,1
المقدمة طويلة,جناية,1
المقدمة لحالها كفيلة باختصار كل شيء. «بودكاست لفهم نفسك وفهم الآخرين». حلقة رائعة كالعادة. سمعتها مرتين ههه وهي ما كملت حتى 12 ساعة. 🚶🏻‍♀️,آدم مع محمد الحاجي,1
المقطع  غير شغال,سقراط مع عمر الجريسي,1
المقطع لايعمل !!,فنجان مع عبدالرحمن أبومالح,1
المقيمين هم أكثر سكان الرياض وسيزيدون في السنوات القادمة بشكل كبير اكثر من زيادة السعوديين وهؤلاء هم غالبية مستخدمي النقل العام بنوعيه الق,جادي,1
المكابر والكذب ياصالح مايفيد الشيخ علي الشبل قال اذا اعتقد وقصد يخشى انه كفر واذا كان من هياط الشعار فهدا كبيرة ليتك اعتذرت وصنت جناب الرسول,ذا قال,1
المكان حزين والزمان حزين والبودكاست حزين وذو شجن وحنين. كنا ننتظر بشغف بودكاست «دُم تَكْ» لنستمتع بصوت رنا داوود، وكانت الحلقة فعلاً تستحق,Dom Tak | دُمْ تَكْ,1
المكان حزين والزمان حزين والبودكاست حزين وذو شجن وحنين. كنا ننتظر بشغف بودكاست «دُم تَكْ» لنستمتع بصوت رنا داوود، وكانت الحلقة فعلاً تستحق,undefined,1
المهم اكتشفت قبل سنة (الله أعلم إذا هيك كان الوضع مع الوثائقي اللي شفته او لا) ان الوثائقيات اللي كذا يركزون على شخصية او عائلة ويحللون تصرفا,Critics at Large | The New Yorker,1
المهم توصل فكرة أن النموذج الحالي نموذج غلط و تشكل على مشاكل تشريعية ، أي النقاش حول موضويع تتعلق بالنموذج الحالي هو نقاش عقيم ، مثل هل يوجد,جادي,1
المواضيع اللي اسمعها الصباح في محاولة لنسيان فكرة الرجوع للنوم ✋🏻,أشياء غيرتنا,1
الموريتانيين أهل علم ودين,فنجان مع عبدالرحمن أبومالح,1
الموسم إلى حدٍ ما رائع. بس من كثر ما مازن السعد جلد العمل وتحلطم، حسيت لوهله إني تبنيت شعوره بالفشل,احتيال,1
"الموسم الاول كان خرافي 
والآن موسم مميز للغاية 
شكرا لكم لهذه المتعة و التحقيق المميز 

اللي مسوي الموسيقى فنان ❤️",احتيال,1
"الموسم اليديد عن الإنترنت سبكالتشرز، اول حلقة عن الفيريز هههههه، سدمة يقولون إنهم سبقوا البيت الأبيض للإنترنت🫨.

لو يدرون عن مجتمع البكمنة",Rehash,1
"الموسم برعاية:
عليك يا كبدي سلام الصابرين",احتيال,1
الموسم عجيب ما الوم ابو مالح لما تصدد عن الموسم قبل يتم 😂 لكن اعتقد ماراح يكشف حقيقة شيء لأن المحتال عليه رايح للشبهة بنفسه وموافق ولو جزئيا,احتيال,1
الموسيقى ازعاج ، واللي تتكلم بعد صوتها ازعاج,سكون | Sukoun,1
الموسيقى اعلى من الصوت,بودكاست أبجورة,1
الموسيقى الجديدة حسستني اني داخل سقراط، رجعوا القديمة,جادي,1
الموسيقى الختامية يا هي رااائعه,احتيال,1
الموسيقى تهدي الاعصاب لاكن يعتبر الحلقة كلها موسيقى,سكون | Sukoun,1
الموسيقى خربت ام القصة,1001 Nights | ألف ليلة وليلة,1
الموسيقى عاليه جداً و حاطينها خيار قبل النوم.!,1001 Nights | ألف ليلة وليلة,1
الموسيقى ليش ما تنشال انا مشترك .🤨,أسامة عبدالرؤوف الشاذلي,1
الموسيقى مخربة للمقطع ومزعجة,آدم مع محمد الحاجي,1
الموسيقى وين ممكن نلقاها,احتيال,1
الموسيقى 👍🏻,أصوات,1
الموسيقي عاملة جو توتر,سكون | Sukoun,1
الموضوع ابكاني شوي,الصفحة الأخيرة,1
"الموضوع الاخير ، 
اتخيله ينفتح للنقاش بين جادي و الفجر ، 
 ( وتكون الحلقة خاصة للمشتركين🙂‍↔️ ) .",الفجر,1
"الموضوع بحر .. فيه جوانب ممتعة خيالية لم تذكر
ما أعطيتوه حقّه",الفسحة,1
الموضوع جدا مهم وماهو قصور في الضيف بس اشوف التشتت والتركيز باقي ما أخذ حقه في الطرح اتمنى يكون فيه لقاء مع مختص,فنجان مع عبدالرحمن أبومالح,1
الموضوع جذاب وجميل وطريقه الحديث ممتازه,فنجان مع عبدالرحمن أبومالح,1
الموضوع جميل جدا جدا ، بس الطرح أو اسلوب الحوار حسيت محتاج تطوير اكثر ، حسيت انه كإنه مكالمة او لقاء صحفي اكتر من كونه بودكاست ..,بودكاست حكيم | Hakeem Podcast,1
الموضوع حلو لكن الحلقة مملة جدًا,فنجان مع عبدالرحمن أبومالح,1
الموضوع حلو لكن مع الاسف اختيار المقدم غير موفق اختيار موضوع مثل كذا خوصاً اذا كان موضوع يخص او يمس السعودية اتمنى اختيار المقدم سعودي . ثمان,أصوات,1
الموضوع حلو لكن مع الاسف اختيار المقدم غير موفق اختيار موضوع مثل كذا خوصاً اذا كان موضوع يخص او يمس السعودية اتمنى اختيار لو المقدم سعودي خص,أصوات,1
الموضوع حلو لكن مع الاسف اختيار المقدم غير موفق اختيار موضوع مثل كذا خوصاً اذا كان موضوع يخص او يمس السعودية اتمنى لو تم اختيار المقدم سعودي,أصوات,1
الموضوع ده مرعب وحقيقي بياخد طاقة كبيرة من الإنسان,الدحيح,1
"الموضوع شيق جداً ويستحق اكثر من حلقة، لكن أرى أن فكرة الضيوف لم تكن موفقة وأثروا على سلاسة الحلقات ، أتمنى عدم تكرار هذه الفكرة مستقبلاً

شكر",جادي,1
الموضوع شيق، لكن للأسف وجود الضيف أضعف الحلقة وجعل رتمها ركيكاً وتقليدياً، أتمنى الاستمرار بالثنائية الرائعة وزيادة وقت الحلقة. 🌷,جادي,1
الموضوع صار (مُريب، غريب، جريء) ودي اعرف نهايتها بس 🦦,احتيال,1
"الموضوع صعب و ينرفز كيف كل شي يبدأ ب""على حسب"" بس هذه حي الحقيقة واعتقد الضيفة كانت صادقة في طرحها بس ممكن كنا نحتاج امثلة توضح اكثر.",فنجان مع عبدالرحمن أبومالح,1
الموضوع عن التشتت ،،والحلقه تشتتك بكثرة كلام ، مفروض يتبسط في نقاط :المشاكل وحلولها بحيث توصل لناس بشكل افضل ويستفيدون,فنجان مع عبدالرحمن أبومالح,1
الموضوع كبير جداً و ممكن يوصل للانتحار بسبب هذي الفئه التوعيه مهمه والحرص اهم,أصوات,1
الموضوع لم يوفى حقّه.,الفسحة,1
الموضوع ليس فقط مهم بل الاهم الله يسعدكم,فنجان مع عبدالرحمن أبومالح,1
الموضوع مخيف ومحزن خاصة لما يكون ضحية الاقصاء او الغضب الجماعي طفل، حلقة جميلة ومهمة الموضيع اللي تطرح تأثير وسائل التواصل الاجتماعي على ال,عقل غير هادئ | مبارك الزوبع,1
